meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#91,in,CT4 (src),RAN,1,1.0,1.0,in|||CT4 (src)|||RAN
#91,in,ESOA (src),RAN,1,1.0,1.0,in|||ESOA (src)|||RAN
#91,in,ETSI ISG IPE (src),RAN,1,1.0,1.0,in|||ETSI ISG IPE (src)|||RAN
#91,in,ETSI TC ERM (src),RAN,1,1.0,1.0,in|||ETSI TC ERM (src)|||RAN
#91,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#91,in,IEEE 1588 WG (src),RAN,1,1.0,1.0,in|||IEEE 1588 WG (src)|||RAN
#91,in,IETF (src),RAN,1,1.0,1.0,in|||IETF (src)|||RAN
#91,in,ITU-R WP1C (src),RAN,1,1.0,1.0,in|||ITU-R WP1C (src)|||RAN
#91,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#91,in,ITU-R WP5D (src),RAN,3,3.0,3.0,in|||ITU-R WP5D (src)|||RAN
#91,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#91,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#91,in,MulteFire Alliance (src),RAN,1,1.0,1.0,in|||MulteFire Alliance (src)|||RAN
#91,in,NGMN (src),RAN,1,1.0,1.0,in|||NGMN (src)|||RAN
#91,in,RAN1 (src),RAN,2,2.0,2.0,in|||RAN1 (src)|||RAN
#91,in,RAN2 (src),RAN,3,3.0,3.0,in|||RAN2 (src)|||RAN
#91,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#91,in,RAN4 (src),RAN,4,4.0,4.0,in|||RAN4 (src)|||RAN
#91,in,RAN5 (src),RAN,1,1.0,1.0,in|||RAN5 (src)|||RAN
#91,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#91,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#91,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#91,in,SAE Advanced Applications Technical Committee (src),RAN,1,1.0,1.0,in|||SAE Advanced Applications Technical Committee (src)|||RAN
#91,out,RAN,5G-ACIA (dst),2,2.0,2.0,out|||RAN|||5G-ACIA (dst)
#91,out,RAN,CT1 (dst),3,3.0,1.5,out|||RAN|||CT1 (dst)
#91,out,RAN,ITU-R WP1C (dst),2,2.0,2.0,out|||RAN|||ITU-R WP1C (dst)
#91,out,RAN,ITU-R WP4B (dst),5,5.0,5.0,out|||RAN|||ITU-R WP4B (dst)
#91,out,RAN,SA (dst),4,4.0,4.0,out|||RAN|||SA (dst)
#91,out,RAN,SA1 (dst),3,3.0,1.5,out|||RAN|||SA1 (dst)
#91,out,RAN,SA4 (dst),2,2.0,1.0,out|||RAN|||SA4 (dst)
#91,out,RAN,SA5 (dst),2,2.0,1.0,out|||RAN|||SA5 (dst)
#92,in,5GAA WG4 (src),RAN,2,2.0,2.0,in|||5GAA WG4 (src)|||RAN
#92,in,APT Wireless Group (src),RAN,1,1.0,1.0,in|||APT Wireless Group (src)|||RAN
#92,in,CT1 (src),RAN,2,2.0,2.0,in|||CT1 (src)|||RAN
#92,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#92,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#92,in,IOWN Global Forum (src),RAN,1,1.0,1.0,in|||IOWN Global Forum (src)|||RAN
#92,in,ITU-R WP5A (src),RAN,3,3.0,3.0,in|||ITU-R WP5A (src)|||RAN
#92,in,ITU-R WP7C (src),RAN,1,1.0,1.0,in|||ITU-R WP7C (src)|||RAN
#92,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#92,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#92,in,RAN3 (src),RAN,4,4.0,4.0,in|||RAN3 (src)|||RAN
#92,in,RAN4 (src),RAN,6,6.0,6.0,in|||RAN4 (src)|||RAN
#92,in,Regional Commonwealth in the field of Communication (RCC) (src),RAN,1,1.0,1.0,in|||Regional Commonwealth in the field of Communication (RCC) (src)|||RAN
#92,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#92,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#92,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#92,in,SMPTE (src),RAN,1,1.0,1.0,in|||SMPTE (src)|||RAN
#92,out,RAN,CT (dst),3,3.0,1.5,out|||RAN|||CT (dst)
#92,out,RAN,GSMA (dst),1,1.0,1.0,out|||RAN|||GSMA (dst)
#92,out,RAN,ITU-R WP1C (dst),2,2.0,2.0,out|||RAN|||ITU-R WP1C (dst)
#92,out,RAN,PCG (dst),2,2.0,2.0,out|||RAN|||PCG (dst)
#92,out,RAN,SA (dst),3,3.0,1.5,out|||RAN|||SA (dst)
#93,in,3GPP ITU-R AH (src),RAN,2,2.0,2.0,in|||3GPP ITU-R AH (src)|||RAN
#93,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#93,in,APT Wireless Group (src),RAN,1,1.0,1.0,in|||APT Wireless Group (src)|||RAN
#93,in,CT (src),RAN,1,1.0,1.0,in|||CT (src)|||RAN
#93,in,CTIA (src),RAN,1,1.0,1.0,in|||CTIA (src)|||RAN
#93,in,ETSI TC BRAN (src),RAN,1,1.0,1.0,in|||ETSI TC BRAN (src)|||RAN
#93,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#93,in,ETSI TC MSG TFES (src),RAN,1,1.0,1.0,in|||ETSI TC MSG TFES (src)|||RAN
#93,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#93,in,IEEE 1588 WG (src),RAN,1,1.0,1.0,in|||IEEE 1588 WG (src)|||RAN
#93,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#93,in,ITU-R WP5D (src),RAN,4,4.0,4.0,in|||ITU-R WP5D (src)|||RAN
#93,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#93,in,ITU-T SG20 (src),RAN,1,1.0,1.0,in|||ITU-T SG20 (src)|||RAN
#93,in,MulteFire Alliance (MFA) (src),RAN,1,1.0,1.0,in|||MulteFire Alliance (MFA) (src)|||RAN
#93,in,NGMN (src),RAN,1,1.0,1.0,in|||NGMN (src)|||RAN
#93,in,RAN1 (src),RAN,3,3.0,3.0,in|||RAN1 (src)|||RAN
#93,in,RAN2 (src),RAN,4,4.0,4.0,in|||RAN2 (src)|||RAN
#93,in,RAN3 (src),RAN,3,3.0,3.0,in|||RAN3 (src)|||RAN
#93,in,RAN4 (src),RAN,5,5.0,5.0,in|||RAN4 (src)|||RAN
#93,in,RAN5 (src),RAN,2,2.0,2.0,in|||RAN5 (src)|||RAN
#93,in,SA (src),RAN,3,3.0,3.0,in|||SA (src)|||RAN
#93,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#93,in,SA2 (src),RAN,2,2.0,2.0,in|||SA2 (src)|||RAN
#93,in,SA6 (src),RAN,1,1.0,1.0,in|||SA6 (src)|||RAN
#93,in,Utilities Technology Council (UTC) (src),RAN,1,1.0,1.0,in|||Utilities Technology Council (UTC) (src)|||RAN
#93,out,RAN,5GAA WG4 (dst),2,2.0,1.0,out|||RAN|||5GAA WG4 (dst)
#93,out,RAN,APT Wireless Group (dst),1,1.0,1.0,out|||RAN|||APT Wireless Group (dst)
#93,out,RAN,CT (dst),1,1.0,0.25,out|||RAN|||CT (dst)
#93,out,RAN,CT1 (dst),1,1.0,0.25,out|||RAN|||CT1 (dst)
#93,out,RAN,EMEA Satellite Operators Association (ESOA) (dst),2,2.0,2.0,out|||RAN|||EMEA Satellite Operators Association (ESOA) (dst)
#93,out,RAN,ITU-R WP5D (dst),2,2.0,2.0,out|||RAN|||ITU-R WP5D (dst)
#93,out,RAN,PCG (dst),2,2.0,1.0,out|||RAN|||PCG (dst)
#93,out,RAN,SA (dst),10,10.0,8.25,out|||RAN|||SA (dst)
#93,out,RAN,SA2 (dst),4,4.0,3.25,out|||RAN|||SA2 (dst)
#93,out,RAN,SAE Advanced Application Technical Committee (dst),2,2.0,1.0,out|||RAN|||SAE Advanced Application Technical Committee (dst)
#94,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#94,in,CT1 (src),RAN,1,1.0,1.0,in|||CT1 (src)|||RAN
#94,in,CT4 (src),RAN,1,1.0,1.0,in|||CT4 (src)|||RAN
#94,in,ETSI ISG RIS (src),RAN,1,1.0,1.0,in|||ETSI ISG RIS (src)|||RAN
#94,in,ITU-R WP1C (src),RAN,1,1.0,1.0,in|||ITU-R WP1C (src)|||RAN
#94,in,ITU-R WP5D (src),RAN,2,2.0,2.0,in|||ITU-R WP5D (src)|||RAN
#94,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#94,in,ITU-T SG12 (src),RAN,1,1.0,1.0,in|||ITU-T SG12 (src)|||RAN
#94,in,ITU-T SG2 (src),RAN,1,1.0,1.0,in|||ITU-T SG2 (src)|||RAN
#94,in,MEF (src),RAN,1,1.0,1.0,in|||MEF (src)|||RAN
#94,in,RAN3 (src),RAN,3,3.0,3.0,in|||RAN3 (src)|||RAN
#94,in,RAN4 (src),RAN,3,3.0,3.0,in|||RAN4 (src)|||RAN
#94,in,RAN5 (src),RAN,2,2.0,2.0,in|||RAN5 (src)|||RAN
#94,in,Regional Commonwealth in the field of Communication (RCC) (src),RAN,1,1.0,1.0,in|||Regional Commonwealth in the field of Communication (RCC) (src)|||RAN
#94,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#94,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#94,in,SA2 (src),RAN,3,3.0,3.0,in|||SA2 (src)|||RAN
#94,in,SA3 (src),RAN,4,4.0,4.0,in|||SA3 (src)|||RAN
#94,in,SA5 (src),RAN,2,2.0,2.0,in|||SA5 (src)|||RAN
#94,out,RAN,ETSI TC LI (dst),2,2.0,2.0,out|||RAN|||ETSI TC LI (dst)
#94,out,RAN,RAN4 (dst),3,3.0,3.0,out|||RAN|||RAN4 (dst)
#94,out,RAN,Regional Commonwealth in the field of Communication (RCC) (dst),3,3.0,3.0,out|||RAN|||Regional Commonwealth in the field of Communication (RCC) (dst)
#94,out,RAN,SA (dst),4,4.0,4.0,out|||RAN|||SA (dst)
#95,in,3GPP ITU-R Ad hoc (src),RAN,2,2.0,2.0,in|||3GPP ITU-R Ad hoc (src)|||RAN
#95,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#95,in,CT1 (src),RAN,1,1.0,1.0,in|||CT1 (src)|||RAN
#95,in,ETSI TC LI (src),RAN,1,1.0,1.0,in|||ETSI TC LI (src)|||RAN
#95,in,EUWENA (src),RAN,1,1.0,1.0,in|||EUWENA (src)|||RAN
#95,in,IEEE 1588 WG (src),RAN,1,1.0,1.0,in|||IEEE 1588 WG (src)|||RAN
#95,in,ITU-R WP5D (src),RAN,2,2.0,2.0,in|||ITU-R WP5D (src)|||RAN
#95,in,RAN2 (src),RAN,1,1.0,1.0,in|||RAN2 (src)|||RAN
#95,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#95,in,RAN4 (src),RAN,4,4.0,4.0,in|||RAN4 (src)|||RAN
#95,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#95,in,SA2 (src),RAN,3,3.0,3.0,in|||SA2 (src)|||RAN
#95,in,SA5 (src),RAN,2,2.0,2.0,in|||SA5 (src)|||RAN
#95,in,SMPTE (src),RAN,1,1.0,1.0,in|||SMPTE (src)|||RAN
#95,in,TSDSI (Telecommunications Standards Development Society India) (src),RAN,1,1.0,1.0,in|||TSDSI (Telecommunications Standards Development Society India) (src)|||RAN
#95,out,RAN,5GAA WG4 (dst),3,3.0,1.5,out|||RAN|||5GAA WG4 (dst)
#95,out,RAN,CT (dst),1,1.0,0.5,out|||RAN|||CT (dst)
#95,out,RAN,ETSI TC LI (dst),2,2.0,2.0,out|||RAN|||ETSI TC LI (dst)
#95,out,RAN,ISED-Canada (dst),4,4.0,4.0,out|||RAN|||ISED-Canada (dst)
#95,out,RAN,PCG (dst),1,1.0,1.0,out|||RAN|||PCG (dst)
#95,out,RAN,SA (dst),9,9.0,7.0,out|||RAN|||SA (dst)
#95,out,RAN,SA2 (dst),3,3.0,3.0,out|||RAN|||SA2 (dst)
#95,out,RAN,TSDSI (Telecommunications Standards Development Society India) (dst),2,2.0,2.0,out|||RAN|||TSDSI (Telecommunications Standards Development Society India) (dst)
#96,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#96,in,APT WG (src),RAN,1,1.0,1.0,in|||APT WG (src)|||RAN
#96,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#96,in,ETSI TC RT (src),RAN,1,1.0,1.0,in|||ETSI TC RT (src)|||RAN
#96,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#96,in,GSOA (src),RAN,1,1.0,1.0,in|||GSOA (src)|||RAN
#96,in,ISED (src),RAN,1,1.0,1.0,in|||ISED (src)|||RAN
#96,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#96,in,RAN4 (src),RAN,3,3.0,3.0,in|||RAN4 (src)|||RAN
#96,in,RAN5 (src),RAN,1,1.0,1.0,in|||RAN5 (src)|||RAN
#96,in,Regional Commonwealth in the field of Communication (RCC) (src),RAN,1,1.0,1.0,in|||Regional Commonwealth in the field of Communication (RCC) (src)|||RAN
#96,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#96,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#96,in,SA3 (src),RAN,1,1.0,1.0,in|||SA3 (src)|||RAN
#96,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#96,out,RAN,APT Wireless Group (dst),2,2.0,2.0,out|||RAN|||APT Wireless Group (dst)
#96,out,RAN,GSMA Spectrum Group (dst),1,1.0,1.0,out|||RAN|||GSMA Spectrum Group (dst)
#96,out,RAN,GSMA Spectrum Team (dst),2,2.0,2.0,out|||RAN|||GSMA Spectrum Team (dst)
#96,out,RAN,ITU-R WP1C (dst),2,2.0,2.0,out|||RAN|||ITU-R WP1C (dst)
#96,out,RAN,SA2 (dst),3,3.0,3.0,out|||RAN|||SA2 (dst)
#97,in,3GPP ITU-R AH (src),RAN,1,1.0,1.0,in|||3GPP ITU-R AH (src)|||RAN
#97,in,CT (src),RAN,2,2.0,2.0,in|||CT (src)|||RAN
#97,in,ETSI (src),RAN,1,1.0,1.0,in|||ETSI (src)|||RAN
#97,in,ITU-R WP5D (src),RAN,1,1.0,1.0,in|||ITU-R WP5D (src)|||RAN
#97,in,JCA-IMT2020 (src),RAN,1,1.0,1.0,in|||JCA-IMT2020 (src)|||RAN
#97,in,NGMN Alliance (src),RAN,1,1.0,1.0,in|||NGMN Alliance (src)|||RAN
#97,in,O-RAN WG10 (src),RAN,1,1.0,1.0,in|||O-RAN WG10 (src)|||RAN
#97,in,O-RAN WG9 (src),RAN,1,1.0,1.0,in|||O-RAN WG9 (src)|||RAN
#97,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#97,in,RAN2 (src),RAN,1,1.0,1.0,in|||RAN2 (src)|||RAN
#97,in,RAN3 (src),RAN,2,2.0,2.0,in|||RAN3 (src)|||RAN
#97,in,RAN4 (src),RAN,4,4.0,4.0,in|||RAN4 (src)|||RAN
#97,in,RAN5 (src),RAN,1,1.0,1.0,in|||RAN5 (src)|||RAN
#97,in,SA2 (src),RAN,2,2.0,2.0,in|||SA2 (src)|||RAN
#97,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#97,out,RAN,3GPP OP (dst),2,2.0,0.666667,out|||RAN|||3GPP OP (dst)
#97,out,RAN,3GPP OPs (ARIB (dst),3,3.0,0.333333,out|||RAN|||3GPP OPs (ARIB (dst)
#97,out,RAN,ATIS (dst),3,3.0,0.333333,out|||RAN|||ATIS (dst)
#97,out,RAN,CCSA (dst),3,3.0,0.333333,out|||RAN|||CCSA (dst)
#97,out,RAN,ETSI (dst),3,3.0,0.333333,out|||RAN|||ETSI (dst)
#97,out,RAN,PCG (dst),5,5.0,1.0,out|||RAN|||PCG (dst)
#97,out,RAN,RAN3 (dst),3,3.0,1.666667,out|||RAN|||RAN3 (dst)
#97,out,RAN,SA (dst),10,10.0,4.666667,out|||RAN|||SA (dst)
#97,out,RAN,SA2 (dst),3,3.0,1.666667,out|||RAN|||SA2 (dst)
#97,out,RAN,TSDSI (dst),3,3.0,0.333333,out|||RAN|||TSDSI (dst)
#97,out,RAN,TTA (dst),3,3.0,0.333333,out|||RAN|||TTA (dst)
#97,out,RAN,TTC) (dst),3,3.0,0.333333,out|||RAN|||TTC) (dst)
#98,in,3GPP ITU-R AH (src),RAN,3,3.0,3.0,in|||3GPP ITU-R AH (src)|||RAN
#98,in,5G-ACIA (src),RAN,2,2.0,2.0,in|||5G-ACIA (src)|||RAN
#98,in,APT WG (src),RAN,1,1.0,1.0,in|||APT WG (src)|||RAN
#98,in,CT (src),RAN,1,1.0,1.0,in|||CT (src)|||RAN
#98,in,ETSI TC LI (src),RAN,1,1.0,1.0,in|||ETSI TC LI (src)|||RAN
#98,in,GSMA (src),RAN,1,1.0,1.0,in|||GSMA (src)|||RAN
#98,in,IETF LPWAN Working Group (src),RAN,1,1.0,1.0,in|||IETF LPWAN Working Group (src)|||RAN
#98,in,ITU-R WP5D (src),RAN,1,1.0,1.0,in|||ITU-R WP5D (src)|||RAN
#98,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#98,in,ITU-T SG13 (src),RAN,2,2.0,2.0,in|||ITU-T SG13 (src)|||RAN
#98,in,ITU-T SG3 (src),RAN,1,1.0,1.0,in|||ITU-T SG3 (src)|||RAN
#98,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#98,in,RAN3 (src),RAN,3,3.0,3.0,in|||RAN3 (src)|||RAN
#98,in,RAN4 (src),RAN,5,5.0,5.0,in|||RAN4 (src)|||RAN
#98,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#98,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#98,in,SA2 (src),RAN,3,3.0,3.0,in|||SA2 (src)|||RAN
#98,out,RAN,3GPP OPs (ARIB (dst),2,2.0,0.222222,out|||RAN|||3GPP OPs (ARIB (dst)
#98,out,RAN,ATIS (dst),2,2.0,0.222222,out|||RAN|||ATIS (dst)
#98,out,RAN,CCSA (dst),2,2.0,0.222222,out|||RAN|||CCSA (dst)
#98,out,RAN,ETSI (dst),2,2.0,0.222222,out|||RAN|||ETSI (dst)
#98,out,RAN,ETSI TC LI (dst),3,3.0,3.0,out|||RAN|||ETSI TC LI (dst)
#98,out,RAN,PCG (dst),2,2.0,0.222222,out|||RAN|||PCG (dst)
#98,out,RAN,SA (dst),5,5.0,3.222222,out|||RAN|||SA (dst)
#98,out,RAN,SA2 (dst),1,1.0,1.0,out|||RAN|||SA2 (dst)
#98,out,RAN,TSDSI (dst),2,2.0,0.222222,out|||RAN|||TSDSI (dst)
#98,out,RAN,TTA (dst),2,2.0,0.222222,out|||RAN|||TTA (dst)
#98,out,RAN,TTC) (dst),2,2.0,0.222222,out|||RAN|||TTC) (dst)
#99,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#99,in,ETSI ISG THZ (src),RAN,1,1.0,1.0,in|||ETSI ISG THZ (src)|||RAN
#99,in,ETSI TC TFES (src),RAN,3,3.0,3.0,in|||ETSI TC TFES (src)|||RAN
#99,in,ITU-R WP5D (src),RAN,4,4.0,4.0,in|||ITU-R WP5D (src)|||RAN
#99,in,ITU-T JCA IoT and SC&C (src),RAN,1,1.0,1.0,in|||ITU-T JCA IoT and SC&C (src)|||RAN
#99,in,ITU-T SG11 (src),RAN,1,1.0,1.0,in|||ITU-T SG11 (src)|||RAN
#99,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#99,in,O-RAN WG10 (src),RAN,1,1.0,1.0,in|||O-RAN WG10 (src)|||RAN
#99,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#99,in,RAN3 (src),RAN,4,4.0,4.0,in|||RAN3 (src)|||RAN
#99,in,RAN4 (src),RAN,3,3.0,3.0,in|||RAN4 (src)|||RAN
#99,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#99,in,SA2 (src),RAN,2,2.0,2.0,in|||SA2 (src)|||RAN
#99,in,SA3 (src),RAN,1,1.0,1.0,in|||SA3 (src)|||RAN
#99,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#99,out,RAN,3GPP OPs (dst),1,1.0,0.333333,out|||RAN|||3GPP OPs (dst)
#99,out,RAN,5G-ACIA (dst),2,2.0,1.5,out|||RAN|||5G-ACIA (dst)
#99,out,RAN,APT Wireless Group (dst),4,4.0,4.0,out|||RAN|||APT Wireless Group (dst)
#99,out,RAN,CT4 (dst),1,1.0,0.5,out|||RAN|||CT4 (dst)
#99,out,RAN,ETSI TC TFES (dst),2,2.0,2.0,out|||RAN|||ETSI TC TFES (dst)
#99,out,RAN,ITU-R WP5D/TEMP/826(Rev.1) = RP-230032 (dst),1,1.0,1.0,out|||RAN|||ITU-R WP5D/TEMP/826(Rev.1) = RP-230032 (dst)
#99,out,RAN,PCG (dst),3,3.0,1.333333,out|||RAN|||PCG (dst)
#99,out,RAN,RAN1 (dst),4,4.0,3.5,out|||RAN|||RAN1 (dst)
#99,out,RAN,RAN4 (dst),2,2.0,1.5,out|||RAN|||RAN4 (dst)
#99,out,RAN,SA (dst),7,7.0,4.833333,out|||RAN|||SA (dst)
#99,out,RAN,SA2 (dst),1,1.0,0.5,out|||RAN|||SA2 (dst)
